Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-11-14 18:38:12,false,"Copenhagen Running","7.72","565","00:38:43","153","170","3.7","175","240","5:01","3:40","11","11","1.18","6.6","7.9","268","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:29.29","8","0.0","00:38:31","00:38:52","--","9"
Running,2022-11-11 18:59:23,false,"Copenhagen Running","8.61","538","00:37:55","153","171","3.4","181","213","4:24","3:39","29","29","1.12","6.6","7.5","257","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:31.67","9","0.0","00:37:50","00:39:42","--","14"
Running,2022-11-09 18:54:23,false,"Copenhagen Running","3.03","240","00:17:57","147","164","2.5","168","197","5:56","5:05","2","2","1.19","7.0","8.5","283","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.38","4","0.0","00:17:52","00:20:25","-1","4"
Running,2022-11-07 17:59:38,false,"Copenhagen Running","7.55","516","00:34:49","157","181","3.5","179","194","4:37","3:31","4","6","1.17","6.5","7.8","262","49.1% L / 50.9% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:44.05","8","0.0","00:34:45","00:37:25","--","6"
Running,2022-11-04 18:02:40,false,"Copenhagen Running","8.86","572","00:43:47","145","159","3.1","177","183","4:57","4:21","32","33","1.04","6.7","7.2","272","50.0% L / 50.0% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:57.90","9","0.0","00:43:44","00:43:47","--","14"
Running,2022-11-02 18:04:49,false,"Copenhagen Running","7.21","509","00:33:48","160","177","3.7","176","189","4:41","3:43","23","24","1.20","6.5","7.9","263","49.1% L / 50.9% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:02.37","8","0.0","00:33:44","00:34:53","--","15"
Running,2022-10-31 18:17:14,false,"Copenhagen Running","7.45","552","00:37:23","157","175","3.6","175","186","5:01","3:59","6","7","1.21","6.6","8.1","270","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:07.43","8","0.0","00:37:18","00:40:21","--","8"
Running,2022-10-28 19:51:25,false,"Copenhagen Running","8.05","565","00:40:16","152","172","3.4","176","188","5:00","3:29","8","9","1.12","6.7","7.6","271","49.0% L / 51.0% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:18.52","9","0.0","00:40:10","00:43:01","--","9"
Running,2022-10-26 18:29:57,false,"Copenhagen Running","7.42","536","00:38:40","151","177","3.4","174","205","5:13","2:58","10","12","1.10","6.8","7.5","277","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:30.68","8","0.0","00:38:35","00:41:32","--","8"
Running,2022-10-24 18:57:45,false,"Copenhagen Running","7.83","565","00:37:23","160","170","3.6","177","186","4:46","4:05","34","36","1.19","6.5","7.9","265","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:59.32","8","0.0","00:37:21","00:39:47","--","12"
